Sample                    | Field           | Result               | Answer               | Status
sample_04                 | type            | 입고                   | 입고                   | ✅
sample_04                 | ticket_id       | 0022                 | 0022                 | ✅
sample_04                 | issuer          | (주) 하은펄프             | (주)하은펄프              | ✅
sample_05_noisy           | date            | 2026-02-03           | 2026-02-03           | ✅
sample_05_noisy           | vehicle_num     | 12가3458              | 12가3458              | ✅
sample_05_noisy           | total_weight    | 23480                | 23480                | ✅
sample_05_noisy           | tare_weight     | 18250                | 18250                | ✅
sample_05_noisy           | net_weight      | 5230                 | 5230                 | ✅
sample_05_noisy           | company         | 대한리싸이클               | 대한리싸이클               | ✅
sample_05_noisy           | product         | 고철                   | 고철                   | ✅
sample_05_noisy           | type            | 출고                   | 출고                   | ✅
sample_05_noisy           | ticket_id       | None                 | None                 | ✅
sample_05_noisy           | issuer          | (주)한국자원              | (주)한국자원              | ✅
sample_06_noisy           | date            | 2026-01-15           | 2026-01-15           | ✅
sample_06_noisy           | vehicle_num     | 91구1234              | 91구1234              | ✅
sample_06_noisy           | total_weight    | 31880                | 31880                | ✅
sample_06_noisy           | tare_weight     | 22440                | 22440                | ✅
sample_06_noisy           | net_weight      | 9440                 | 9440                 | ✅
sample_06_noisy           | company         | 청정그린                 | 청정그린                 | ✅
sample_06_noisy           | product         | 폐지                   | 폐지                   | ✅
sample_06_noisy           | type            | 입고                   | 입고                   | ✅
sample_06_noisy           | ticket_id       | 023487               | 023487               | ✅
sample_06_noisy           | issuer          | 그린환경(주)              | 그린환경(주)              | ✅
sample_07_noisy           | date            | 2026-02-05           | 2026-02-05           | ✅
sample_07_noisy           | vehicle_num     | 56바7890              | 56바7890              | ✅
sample_07_noisy           | total_weight    | 45670                | 45670                | ✅
sample_07_noisy           | tare_weight     | 32180                | 32180                | ✅
sample_07_noisy           | net_weight      | 13490                | 13490                | ✅
sample_07_noisy           | company         | (주)에코월드              | (주)에코월드              | ✅
sample_07_noisy           | product         | 플라스틱 PE              | 플라스틱 PE              | ✅
sample_07_noisy           | type            | None                 | None                 | ✅
sample_07_noisy           | ticket_id       | None                 | None                 | ✅
sample_07_noisy           | issuer          | (주)클린테크              | (주)클린테크              | ✅
sample_08_english         | date            | 2025-10-20           | 2025-10-20           | ✅
sample_08_english         | vehicle_num     | AB-1234              | AB-1234              | ✅
sample_08_english         | total_weight    | 25400                | 25400                | ✅
sample_08_english         | tare_weight     | 12200                | 12200                | ✅
sample_08_english         | net_weight      | 13200                | 13200                | ✅
sample_08_english         | company         | None                 | None                 | ✅
sample_08_english         | product         | None                 | None                 | ✅
sample_08_english         | type            | None                 | None                 | ✅
sample_08_english         | ticket_id       | None                 | None                 | ✅
sample_08_english         | issuer          | Supplier : Global Resources Inc. | Global Resources Inc. | ✅
sample_09_unit_confusion  | date            | 2025-12-25           | 2025-12-25           | ✅
sample_09_unit_confusion  | vehicle_num     | 경기99바1234            | 경기99바1234            | ✅
sample_09_unit_confusion  | total_weight    | 24500                | 24500                | ✅
sample_09_unit_confusion  | tare_weight     | 10200                | 10200                | ✅
sample_09_unit_confusion  | net_weight      | 14300                | 14300                | ✅
sample_09_unit_confusion  | company         | None                 | None                 | ✅
sample_09_unit_confusion  | product         | None                 | None                 | ✅
sample_09_unit_confusion  | type            | None                 | None                 | ✅
sample_09_unit_confusion  | ticket_id       | None                 | None                 | ✅
sample_09_unit_confusion  | issuer          | None                 | None                 | ✅
sample_10_extreme_noise   | date            | None                 | None                 | ✅
sample_10_extreme_noise   | vehicle_num     | 8713                 | 8713                 | ✅
sample_10_extreme_noise   | total_weight    | 12480                | 12480                | ✅
sample_10_extreme_noise   | tare_weight     | 7470                 | 7470                 | ✅
sample_10_extreme_noise   | net_weight      | 5010                 | 5010                 | ✅
sample_10_extreme_noise   | company         | (주)태양자원              | (주)태양자원              | ✅
sample_10_extreme_noise   | product         | None                 | None                 | ✅
sample_10_extreme_noise   | type            | None                 | None                 | ✅
sample_10_extreme_noise   | ticket_id       | None                 | 8713                 | ❌
sample_10_extreme_noise   | issuer          | None                 | None                 | ✅
sample_11                 | date            | 2026-02-06           | 2026-02-06           | ✅
sample_11                 | vehicle_num     | 98바1234              | 98바1234              | ✅
sample_11                 | total_weight    | 25000                | 25000                | ✅
sample_11                 | tare_weight     | 11500                | 11500                | ✅
sample_11                 | net_weight      | 13500                | 13500                | ✅
sample_11                 | company         | (주)태양건설              | (주)태양건설              | ✅
sample_11                 | product         | 혼합폐기물                | 혼합폐기물                | ✅
sample_11                 | type            | None                 | None                 | ✅
sample_11                 | ticket_id       | 26-0206-003          | 26-0206-003          | ✅
sample_11                 | issuer          | None                 | None                 | ✅
-----------------------------------------------------------------------------------------------
Total Match Rate: 106/110 (96.36%)
